Gene stable ID	Transcript stable ID	Oryza sativa Indica Group protein or transcript stable ID
AT5G57220	AT5G57220.1	BGIOSGA035934-PA
AT5G57220	AT5G57220.1	BGIOSGA035935-PA
AT5G44830	AT5G44830.1	BGIOSGA002868-PA
AT1G68090	AT1G68090.1	BGIOSGA028703-PA
AT1G68090	AT1G68090.2	BGIOSGA028703-PA
AT1G68090	AT1G68090.1	BGIOSGA030708-PA
AT1G68090	AT1G68090.2	BGIOSGA030708-PA
AT5G55960	AT5G55960.1	BGIOSGA022741-PA
AT4G29520	AT4G29520.1	
AT3G25500	AT3G25500.1	BGIOSGA019004-PA
AT5G61190	AT5G61190.11	BGIOSGA012719-PA
AT5G61190	AT5G61190.3	BGIOSGA012719-PA
AT5G61190	AT5G61190.5	BGIOSGA012719-PA
AT5G61190	AT5G61190.9	BGIOSGA012719-PA
AT5G61190	AT5G61190.10	BGIOSGA012719-PA
AT5G61190	AT5G61190.1	BGIOSGA012719-PA
AT5G61190	AT5G61190.2	BGIOSGA012719-PA
AT5G61190	AT5G61190.6	BGIOSGA012719-PA
AT5G61190	AT5G61190.7	BGIOSGA012719-PA
AT5G61190	AT5G61190.8	BGIOSGA012719-PA
AT5G61190	AT5G61190.4	BGIOSGA012719-PA
AT5G61190	AT5G61190.11	BGIOSGA023846-PA
AT5G61190	AT5G61190.3	BGIOSGA023846-PA
AT5G61190	AT5G61190.5	BGIOSGA023846-PA
AT5G61190	AT5G61190.9	BGIOSGA023846-PA
AT5G61190	AT5G61190.10	BGIOSGA023846-PA
AT5G61190	AT5G61190.1	BGIOSGA023846-PA
AT5G61190	AT5G61190.2	BGIOSGA023846-PA
AT5G61190	AT5G61190.6	BGIOSGA023846-PA
AT5G61190	AT5G61190.7	BGIOSGA023846-PA
AT5G61190	AT5G61190.8	BGIOSGA023846-PA
AT5G61190	AT5G61190.4	BGIOSGA023846-PA
AT1G16440	AT1G16440.1	BGIOSGA003082-PA
AT1G16440	AT1G16440.1	BGIOSGA007978-PA
AT1G16440	AT1G16440.1	BGIOSGA019454-PA
AT2G18380	AT2G18380.1	
AT3G03726	AT3G03726.2	
AT3G03726	AT3G03726.1	
AT5G54230	AT5G54230.1	
AT2G23000	AT2G23000.2	BGIOSGA035222-PA
AT2G23000	AT2G23000.1	BGIOSGA035222-PA
AT2G23000	AT2G23000.2	BGIOSGA038979-PA
AT2G23000	AT2G23000.1	BGIOSGA038979-PA
AT2G23000	AT2G23000.2	BGIOSGA040472-PA
AT2G23000	AT2G23000.1	BGIOSGA040472-PA
AT2G23000	AT2G23000.2	BGIOSGA040471-PA
AT2G23000	AT2G23000.1	BGIOSGA040471-PA
AT2G23000	AT2G23000.2	BGIOSGA035227-PA
AT2G23000	AT2G23000.1	BGIOSGA035227-PA
AT2G23000	AT2G23000.2	BGIOSGA015987-PA
AT2G23000	AT2G23000.1	BGIOSGA015987-PA
AT2G23000	AT2G23000.2	BGIOSGA035226-PA
AT2G23000	AT2G23000.1	BGIOSGA035226-PA
AT5G44265	AT5G44265.1	
AT2G29140	AT2G29140.1	BGIOSGA037652-PA
AT2G29140	AT2G29140.2	BGIOSGA037652-PA
AT2G29140	AT2G29140.1	BGIOSGA019632-PA
AT2G29140	AT2G29140.2	BGIOSGA019632-PA
AT2G29140	AT2G29140.1	BGIOSGA016042-PA
AT2G29140	AT2G29140.2	BGIOSGA016042-PA
AT2G29140	AT2G29140.1	BGIOSGA019631-PA
AT2G29140	AT2G29140.2	BGIOSGA019631-PA
AT2G29140	AT2G29140.1	BGIOSGA040647-PA
AT2G29140	AT2G29140.2	BGIOSGA040647-PA
AT5G01650	AT5G01650.3	
AT5G01650	AT5G01650.2	
AT5G01650	AT5G01650.4	
AT5G01650	AT5G01650.1	
AT3G27325	AT3G27325.3	BGIOSGA030402-PA
AT3G27325	AT3G27325.1	BGIOSGA030402-PA
AT3G27325	AT3G27325.2	BGIOSGA030402-PA
AT2G14045	AT2G14045.1	BGIOSGA025287-PA
AT2G14045	AT2G14045.3	BGIOSGA025287-PA
AT2G14045	AT2G14045.4	BGIOSGA025287-PA
AT2G14045	AT2G14045.2	BGIOSGA025287-PA
AT1G64700	AT1G64700.1	
AT5G59830	AT5G59830.2	
AT5G59830	AT5G59830.1	
AT5G59830	AT5G59830.3	
AT4G31355	AT4G31355.1	
AT2G28000	AT2G28000.1	BGIOSGA037230-PA
AT2G28000	AT2G28000.1	BGIOSGA009394-PA
AT1G10910	AT1G10910.2	
AT1G10910	AT1G10910.1	
ATMG01080	ATMG01080.1	
AT3G15620	AT3G15620.1	BGIOSGA007756-PA
AT3G15620	AT3G15620.2	BGIOSGA007756-PA
AT5G42053	AT5G42053.1	
AT3G29385	AT3G29385.1	BGIOSGA012108-PA
AT3G29385	AT3G29385.1	BGIOSGA032159-PA
AT5G66900	AT5G66900.2	
AT5G66900	AT5G66900.1	
AT5G66900	AT5G66900.3	
AT4G19150	AT4G19150.1	BGIOSGA037905-PA
AT4G19150	AT4G19150.2	BGIOSGA037905-PA
AT1G69210	AT1G69210.1	BGIOSGA024798-PA
AT1G69210	AT1G69210.2	BGIOSGA024798-PA
AT3G22231	AT3G22231.1	
AT2G22230	AT2G22230.1	BGIOSGA027438-PA
AT2G22230	AT2G22230.1	BGIOSGA019926-PA
AT5G62460	AT5G62460.2	BGIOSGA006187-PA
AT5G62460	AT5G62460.1	BGIOSGA006187-PA
AT5G62460	AT5G62460.3	BGIOSGA006187-PA
AT5G62460	AT5G62460.2	BGIOSGA033717-PA
AT5G62460	AT5G62460.1	BGIOSGA033717-PA
AT5G62460	AT5G62460.3	BGIOSGA033717-PA
AT5G62460	AT5G62460.2	BGIOSGA030748-PA
AT5G62460	AT5G62460.1	BGIOSGA030748-PA
AT5G62460	AT5G62460.3	BGIOSGA030748-PA
AT4G34215	AT4G34215.1	BGIOSGA015440-PA
AT4G34215	AT4G34215.2	BGIOSGA015440-PA
AT3G24530	AT3G24530.2	BGIOSGA006735-PA
AT3G24530	AT3G24530.3	BGIOSGA006735-PA
AT3G24530	AT3G24530.1	BGIOSGA006735-PA
AT3G22275	AT3G22275.1	
AT4G15790	AT4G15790.1	
AT4G15790	AT4G15790.2	
AT1G14010	AT1G14010.1	BGIOSGA026198-PA
AT1G14010	AT1G14010.1	BGIOSGA010644-PA
AT2G29210	AT2G29210.1	BGIOSGA011026-PA
AT2G29210	AT2G29210.2	BGIOSGA011026-PA
AT3G25727	AT3G25727.1	
AT1G65165	AT1G65165.1	
AT2G25060	AT2G25060.1	
AT3G06000	AT3G06000.1	
AT1G08050	AT1G08050.1	
AT5G15310	AT5G15310.3	BGIOSGA016547-PA
AT5G15310	AT5G15310.4	BGIOSGA016547-PA
AT5G15310	AT5G15310.1	BGIOSGA016547-PA
AT5G15310	AT5G15310.2	BGIOSGA016547-PA
AT5G15310	AT5G15310.3	BGIOSGA026935-PA
AT5G15310	AT5G15310.4	BGIOSGA026935-PA
AT5G15310	AT5G15310.1	BGIOSGA026935-PA
AT5G15310	AT5G15310.2	BGIOSGA026935-PA
AT5G15310	AT5G15310.3	BGIOSGA008493-PA
AT5G15310	AT5G15310.4	BGIOSGA008493-PA
AT5G15310	AT5G15310.1	BGIOSGA008493-PA
AT5G15310	AT5G15310.2	BGIOSGA008493-PA
AT3G06820	AT3G06820.2	
AT3G06820	AT3G06820.3	
AT3G06820	AT3G06820.1	
AT5G58540	AT5G58540.2	BGIOSGA018227-PA
AT5G58540	AT5G58540.3	BGIOSGA018227-PA
AT5G58540	AT5G58540.1	BGIOSGA018227-PA
AT1G09080	AT1G09080.2	BGIOSGA013428-PA
AT1G09080	AT1G09080.1	BGIOSGA013428-PA
AT4G34860	AT4G34860.3	
AT4G34860	AT4G34860.1	
AT4G34860	AT4G34860.2	
AT5G43740	AT5G43740.2	BGIOSGA011244-PA
AT5G43740	AT5G43740.1	BGIOSGA011244-PA
AT5G43740	AT5G43740.2	BGIOSGA036173-PA
AT5G43740	AT5G43740.1	BGIOSGA036173-PA
AT5G43740	AT5G43740.2	BGIOSGA014719-PA
AT5G43740	AT5G43740.1	BGIOSGA014719-PA
AT5G43740	AT5G43740.2	BGIOSGA005201-PA
AT5G43740	AT5G43740.1	BGIOSGA005201-PA
AT5G43740	AT5G43740.2	BGIOSGA036170-PA
AT5G43740	AT5G43740.1	BGIOSGA036170-PA
AT5G43740	AT5G43740.2	BGIOSGA016584-PA
AT5G43740	AT5G43740.1	BGIOSGA016584-PA
AT5G43740	AT5G43740.2	BGIOSGA033773-PA
AT5G43740	AT5G43740.1	BGIOSGA033773-PA
AT1G22240	AT1G22240.1	BGIOSGA011299-PA
AT1G22240	AT1G22240.1	BGIOSGA037422-PA
AT1G53830	AT1G53830.1	
AT2G17270	AT2G17270.1	BGIOSGA029299-PA
AT3G44460	AT3G44460.1	
AT2G01790	AT2G01790.1	
AT5G20670	AT5G20670.1	
AT3G43420	AT3G43420.1	
AT4G24204	AT4G24204.2	BGIOSGA011970-PA
AT4G24204	AT4G24204.1	BGIOSGA011970-PA
AT4G24204	AT4G24204.3	BGIOSGA011970-PA
AT1G03900	AT1G03900.1	BGIOSGA033124-PA
AT3G09925	AT3G09925.1	BGIOSGA033401-PA
AT1G33910	AT1G33910.1	
AT3G45150	AT3G45150.1	BGIOSGA005085-PA
AT1G53240	AT1G53240.1	BGIOSGA004108-PA
AT1G53240	AT1G53240.1	BGIOSGA017515-PA
AT1G53240	AT1G53240.1	BGIOSGA017517-PA
AT3G17130	AT3G17130.1	
AT2G18570	AT2G18570.1	
AT4G25515	AT4G25515.1	
AT2G47180	AT2G47180.1	BGIOSGA012500-PA
AT2G47180	AT2G47180.1	BGIOSGA023687-PA
AT4G08850	AT4G08850.2	
AT4G08850	AT4G08850.1	
AT1G23690	AT1G23690.2	
AT1G23690	AT1G23690.3	
AT1G23690	AT1G23690.4	
AT1G23690	AT1G23690.1	
AT3G06950	AT3G06950.1	
AT5G55140	AT5G55140.1	BGIOSGA027861-PA
AT4G27652	AT4G27652.1	
AT1G67460	AT1G67460.2	BGIOSGA016250-PA
AT1G67460	AT1G67460.1	BGIOSGA016250-PA
AT4G07825	AT4G07825.1	
AT1G26300	AT1G26300.1	BGIOSGA008964-PA
AT1G26300	AT1G26300.3	BGIOSGA008964-PA
AT1G26300	AT1G26300.2	BGIOSGA008964-PA
AT2G04063	AT2G04063.1	
AT2G16700	AT2G16700.1	BGIOSGA011132-PA
AT2G16700	AT2G16700.3	BGIOSGA011132-PA
AT2G16700	AT2G16700.2	BGIOSGA011132-PA
AT2G16700	AT2G16700.4	BGIOSGA011132-PA
AT5G48550	AT5G48550.2	
AT5G48550	AT5G48550.1	
AT5G01840	AT5G01840.1	
AT2G21385	AT2G21385.3	BGIOSGA029390-PA
AT2G21385	AT2G21385.4	BGIOSGA029390-PA
AT2G21385	AT2G21385.1	BGIOSGA029390-PA
AT2G21385	AT2G21385.5	BGIOSGA029390-PA
AT2G21385	AT2G21385.2	BGIOSGA029390-PA
AT5G49850	AT5G49850.1	
AT5G10470	AT5G10470.1	
AT5G10470	AT5G10470.2	
AT3G60890	AT3G60890.1	
AT3G60890	AT3G60890.2	
AT3G60890	AT3G60890.3	
AT1G09760	AT1G09760.1	BGIOSGA006822-PA
AT1G47300	AT1G47300.1	
AT3G12180	AT3G12180.1	
AT3G24570	AT3G24570.1	BGIOSGA002083-PA
AT3G24570	AT3G24570.2	BGIOSGA002083-PA
AT2G45720	AT2G45720.4	BGIOSGA033300-PA
AT2G45720	AT2G45720.3	BGIOSGA033300-PA
AT2G45720	AT2G45720.5	BGIOSGA033300-PA
AT2G45720	AT2G45720.2	BGIOSGA033300-PA
AT2G45720	AT2G45720.1	BGIOSGA033300-PA
AT2G45720	AT2G45720.4	BGIOSGA011719-PA
AT2G45720	AT2G45720.3	BGIOSGA011719-PA
AT2G45720	AT2G45720.5	BGIOSGA011719-PA
AT2G45720	AT2G45720.2	BGIOSGA011719-PA
AT2G45720	AT2G45720.1	BGIOSGA011719-PA
AT4G17330	AT4G17330.3	BGIOSGA035169-PA
AT4G17330	AT4G17330.1	BGIOSGA035169-PA
AT4G17330	AT4G17330.2	BGIOSGA035169-PA
AT3G11550	AT3G11550.1	BGIOSGA027833-PA
AT3G11550	AT3G11550.1	BGIOSGA017380-PA
AT3G11570	AT3G11570.1	BGIOSGA026679-PA
AT3G11570	AT3G11570.1	BGIOSGA026680-PA
AT1G08470	AT1G08470.1	BGIOSGA009804-PA
AT3G45890	AT3G45890.1	BGIOSGA016081-PA
AT5G61920	AT5G61920.1	
AT5G61920	AT5G61920.4	
AT5G61920	AT5G61920.6	
AT5G61920	AT5G61920.2	
AT5G61920	AT5G61920.5	
AT5G61920	AT5G61920.3	
AT2G39410	AT2G39410.1	BGIOSGA006323-PA
AT2G39410	AT2G39410.2	BGIOSGA006323-PA
AT2G39410	AT2G39410.1	BGIOSGA019403-PA
AT2G39410	AT2G39410.2	BGIOSGA019403-PA
AT3G48510	AT3G48510.1	
AT1G63810	AT1G63810.1	BGIOSGA037054-PA
AT1G63810	AT1G63810.2	BGIOSGA037054-PA
AT2G39900	AT2G39900.1	BGIOSGA012292-PA
AT3G52561	AT3G52561.1	
AT3G59370	AT3G59370.1	
AT1G46408	AT1G46408.1	BGIOSGA018453-PA
AT1G46408	AT1G46408.1	BGIOSGA021177-PA
AT1G46408	AT1G46408.1	BGIOSGA006672-PA
AT4G16710	AT4G16710.3	
AT4G16710	AT4G16710.4	
AT4G16710	AT4G16710.1	
AT4G16710	AT4G16710.2	
AT3G19360	AT3G19360.2	
AT3G19360	AT3G19360.1	
AT5G08320	AT5G08320.2	BGIOSGA008682-PA
AT5G08320	AT5G08320.1	BGIOSGA008682-PA
AT4G39940	AT4G39940.1	
AT5G56690	AT5G56690.1	
AT3G45060	AT3G45060.1	BGIOSGA039305-PA
AT3G45060	AT3G45060.1	BGIOSGA022149-PA
AT3G45060	AT3G45060.1	BGIOSGA038284-PA
AT3G45060	AT3G45060.1	BGIOSGA038388-PA
AT3G45060	AT3G45060.1	BGIOSGA039060-PA
AT3G45060	AT3G45060.1	BGIOSGA040393-PA
AT3G45060	AT3G45060.1	BGIOSGA039483-PA
AT3G45060	AT3G45060.1	BGIOSGA032731-PA
AT3G45060	AT3G45060.1	BGIOSGA040216-PA
AT3G45060	AT3G45060.1	BGIOSGA021156-PA
AT3G45060	AT3G45060.1	BGIOSGA040020-PA
AT3G45060	AT3G45060.1	BGIOSGA035963-PA
AT3G45060	AT3G45060.1	BGIOSGA038553-PA
AT3G45060	AT3G45060.1	BGIOSGA039398-PA
AT3G45060	AT3G45060.1	BGIOSGA039786-PA
AT3G45060	AT3G45060.1	BGIOSGA038632-PA
AT3G45060	AT3G45060.1	BGIOSGA040210-PA
AT3G45060	AT3G45060.1	BGIOSGA039739-PA
AT5G32619	AT5G32619.1	
AT3G26910	AT3G26910.2	
AT3G26910	AT3G26910.1	
AT3G26910	AT3G26910.3	
AT2G47700	AT2G47700.2	
AT2G47700	AT2G47700.1	
AT3G17770	AT3G17770.1	BGIOSGA009909-PA
AT5G45450	AT5G45450.1	BGIOSGA000556-PA
AT5G45450	AT5G45450.1	BGIOSGA007382-PA
AT5G45450	AT5G45450.1	BGIOSGA028364-PA
AT5G45450	AT5G45450.1	BGIOSGA028365-PA
AT5G45450	AT5G45450.1	BGIOSGA007248-PA
AT5G45450	AT5G45450.1	BGIOSGA028366-PA
AT5G45450	AT5G45450.1	BGIOSGA002231-PA
AT2G13965	AT2G13965.1	
AT4G29360	AT4G29360.2	BGIOSGA004430-PA
AT4G29360	AT4G29360.1	BGIOSGA004430-PA
AT2G24250	AT2G24250.2	
AT2G24250	AT2G24250.1	
AT1G21880	AT1G21880.2	
AT1G21880	AT1G21880.1	
AT2G04795	AT2G04795.1	
AT3G22520	AT3G22520.1	
AT5G18610	AT5G18610.3	
AT5G18610	AT5G18610.2	
AT5G18610	AT5G18610.1	
AT1G67910	AT1G67910.1	
AT1G67910	AT1G67910.2	
AT2G39250	AT2G39250.2	BGIOSGA018911-PA
AT2G39250	AT2G39250.1	BGIOSGA018911-PA
AT1G61370	AT1G61370.2	
AT1G61370	AT1G61370.1	
AT1G52980	AT1G52980.1	
AT4G20820	AT4G20820.1	BGIOSGA007851-PA
AT4G20820	AT4G20820.1	BGIOSGA019548-PA
AT4G20820	AT4G20820.1	BGIOSGA001874-PA
AT4G20820	AT4G20820.1	BGIOSGA031585-PA
AT4G20820	AT4G20820.1	BGIOSGA003997-PA
AT1G66660	AT1G66660.2	BGIOSGA022777-PA
AT1G66660	AT1G66660.1	BGIOSGA022777-PA
AT3G62160	AT3G62160.1	BGIOSGA002260-PA
AT3G62160	AT3G62160.1	BGIOSGA023194-PA
AT3G62160	AT3G62160.1	BGIOSGA001853-PA
AT3G62160	AT3G62160.1	BGIOSGA020944-PA
AT3G62160	AT3G62160.1	BGIOSGA032423-PA
AT3G62160	AT3G62160.1	BGIOSGA018391-PA
AT3G62160	AT3G62160.1	BGIOSGA023990-PA
AT3G62160	AT3G62160.1	BGIOSGA030480-PA
AT3G62160	AT3G62160.1	BGIOSGA037879-PA
AT3G62160	AT3G62160.1	BGIOSGA001208-PA
AT3G62160	AT3G62160.1	BGIOSGA006553-PA
AT3G62160	AT3G62160.1	BGIOSGA032422-PA
AT3G62160	AT3G62160.1	BGIOSGA032425-PA
AT3G62160	AT3G62160.1	BGIOSGA019146-PA
AT3G62160	AT3G62160.1	BGIOSGA032424-PA
AT3G62160	AT3G62160.1	BGIOSGA018699-PA
AT3G62160	AT3G62160.1	BGIOSGA001207-PA
AT3G62160	AT3G62160.1	BGIOSGA015529-PA
AT3G62160	AT3G62160.1	BGIOSGA015989-PA
AT3G62160	AT3G62160.1	BGIOSGA002910-PA
AT3G62160	AT3G62160.1	BGIOSGA032426-PA
AT3G62160	AT3G62160.1	BGIOSGA023547-PA
AT1G66130	AT1G66130.1	
AT4G19550	AT4G19550.2	
AT4G19550	AT4G19550.1	
AT5G38200	AT5G38200.2	
AT5G38200	AT5G38200.3	
AT5G38200	AT5G38200.1	
AT3G19440	AT3G19440.1	BGIOSGA030263-PA
AT3G19440	AT3G19440.2	BGIOSGA030263-PA
AT4G36500	AT4G36500.1	
AT5G21910	AT5G21910.1	BGIOSGA011346-PA
AT3G10440	AT3G10440.2	
AT3G10440	AT3G10440.1	
AT3G18260	AT3G18260.1	BGIOSGA004244-PA
AT3G18260	AT3G18260.1	BGIOSGA017620-PA
AT3G18260	AT3G18260.1	BGIOSGA002736-PA
AT1G35550	AT1G35550.1	BGIOSGA011971-PA
AT1G35550	AT1G35550.1	BGIOSGA011973-PA
AT1G35550	AT1G35550.1	BGIOSGA011972-PA
AT1G35550	AT1G35550.1	BGIOSGA011974-PA
AT2G41473	AT2G41473.1	
AT4G32930	AT4G32930.2	BGIOSGA001400-PA
AT4G32930	AT4G32930.1	BGIOSGA001400-PA
AT4G00770	AT4G00770.1	
AT2G30575	AT2G30575.1	BGIOSGA035561-PA
AT3G13433	AT3G13433.1	
AT5G08460	AT5G08460.1	
AT3G46730	AT3G46730.1	BGIOSGA032217-PA
AT5G61720	AT5G61720.1	
AT4G29170	AT4G29170.3	BGIOSGA030086-PA
AT4G29170	AT4G29170.1	BGIOSGA030086-PA
AT4G29170	AT4G29170.2	BGIOSGA030086-PA
AT3G45770	AT3G45770.1	BGIOSGA034440-PA
AT3G45770	AT3G45770.2	BGIOSGA034440-PA
AT3G45770	AT3G45770.1	BGIOSGA036833-PA
AT3G45770	AT3G45770.2	BGIOSGA036833-PA
AT5G50080	AT5G50080.2	BGIOSGA015096-PA
AT5G50080	AT5G50080.1	BGIOSGA015096-PA
AT5G50080	AT5G50080.2	BGIOSGA036561-PA
AT5G50080	AT5G50080.1	BGIOSGA036561-PA
AT5G50080	AT5G50080.2	BGIOSGA034432-PA
AT5G50080	AT5G50080.1	BGIOSGA034432-PA
AT4G21010	AT4G21010.1	BGIOSGA031981-PA
AT4G21010	AT4G21010.1	BGIOSGA011968-PA
AT4G19191	AT4G19191.1	BGIOSGA019045-PA
AT4G19191	AT4G19191.1	BGIOSGA015078-PA
AT2G40640	AT2G40640.8	BGIOSGA009569-PA
AT2G40640	AT2G40640.3	BGIOSGA009569-PA
AT2G40640	AT2G40640.5	BGIOSGA009569-PA
AT2G40640	AT2G40640.1	BGIOSGA009569-PA
AT2G40640	AT2G40640.6	BGIOSGA009569-PA
AT2G40640	AT2G40640.4	BGIOSGA009569-PA
AT2G40640	AT2G40640.7	BGIOSGA009569-PA
AT2G40640	AT2G40640.9	BGIOSGA009569-PA
AT2G40640	AT2G40640.2	BGIOSGA009569-PA
AT1G77570	AT1G77570.1	BGIOSGA012151-PA
AT2G44065	AT2G44065.2	BGIOSGA040095-PA
AT2G44065	AT2G44065.1	BGIOSGA040095-PA
AT2G44065	AT2G44065.3	BGIOSGA040095-PA
AT3G48346	AT3G48346.1	
AT1G62300	AT1G62300.1	BGIOSGA003134-PA
AT1G62300	AT1G62300.1	BGIOSGA020376-PA
AT3G06450	AT3G06450.4	
AT3G06450	AT3G06450.2	
AT3G06450	AT3G06450.1	
AT3G06450	AT3G06450.3	
AT2G34357	AT2G34357.1	BGIOSGA009153-PA
AT5G49300	AT5G49300.1	
AT1G18130	AT1G18130.1	
AT5G01260	AT5G01260.3	BGIOSGA017953-PA
AT5G01260	AT5G01260.2	BGIOSGA017953-PA
AT5G01260	AT5G01260.1	BGIOSGA017953-PA
AT5G01260	AT5G01260.3	BGIOSGA004829-PA
AT5G01260	AT5G01260.2	BGIOSGA004829-PA
AT5G01260	AT5G01260.1	BGIOSGA004829-PA
AT1G14810	AT1G14810.2	BGIOSGA013607-PA
AT1G14810	AT1G14810.1	BGIOSGA013607-PA
AT1G14810	AT1G14810.2	BGIOSGA039761-PA
AT1G14810	AT1G14810.1	BGIOSGA039761-PA
AT5G16540	AT5G16540.2	BGIOSGA021176-PA
AT5G16540	AT5G16540.3	BGIOSGA021176-PA
AT5G16540	AT5G16540.4	BGIOSGA021176-PA
AT5G16540	AT5G16540.1	BGIOSGA021176-PA
AT5G16540	AT5G16540.2	BGIOSGA000249-PA
AT5G16540	AT5G16540.3	BGIOSGA000249-PA
AT5G16540	AT5G16540.4	BGIOSGA000249-PA
AT5G16540	AT5G16540.1	BGIOSGA000249-PA
AT5G16540	AT5G16540.2	BGIOSGA034018-PA
AT5G16540	AT5G16540.3	BGIOSGA034018-PA
AT5G16540	AT5G16540.4	BGIOSGA034018-PA
AT5G16540	AT5G16540.1	BGIOSGA034018-PA
AT5G16540	AT5G16540.2	BGIOSGA037268-PA
AT5G16540	AT5G16540.3	BGIOSGA037268-PA
AT5G16540	AT5G16540.4	BGIOSGA037268-PA
AT5G16540	AT5G16540.1	BGIOSGA037268-PA
AT1G62480	AT1G62480.1	
AT4G23090	AT4G23090.2	
AT4G23090	AT4G23090.1	
AT1G48405	AT1G48405.1	
AT5G17490	AT5G17490.1	BGIOSGA013420-PA
AT2G46210	AT2G46210.1	BGIOSGA030543-PA
AT2G28600	AT2G28600.1	BGIOSGA036989-PA
AT3G05625	AT3G05625.2	BGIOSGA001710-PA
AT3G05625	AT3G05625.1	BGIOSGA001710-PA
AT5G59050	AT5G59050.1	
AT5G59050	AT5G59050.3	
AT5G59050	AT5G59050.4	
AT5G59050	AT5G59050.2	
AT5G20500	AT5G20500.1	BGIOSGA023411-PA
AT3G01360	AT3G01360.1	BGIOSGA021567-PA
AT3G01360	AT3G01360.2	BGIOSGA021567-PA
AT2G27610	AT2G27610.1	BGIOSGA019974-PA
AT3G14200	AT3G14200.1	BGIOSGA022466-PA
AT3G14200	AT3G14200.1	BGIOSGA005481-PA
AT3G27503	AT3G27503.1	
AT5G44260	AT5G44260.1	
AT4G35850	AT4G35850.1	BGIOSGA018817-PA
AT1G67855	AT1G67855.1	
AT5G53960	AT5G53960.1	
AT3G02220	AT3G02220.1	BGIOSGA000772-PA
AT3G51270	AT3G51270.4	BGIOSGA000358-PA
AT3G51270	AT3G51270.1	BGIOSGA000358-PA
AT3G51270	AT3G51270.3	BGIOSGA000358-PA
AT3G51270	AT3G51270.2	BGIOSGA000358-PA
AT1G50190	AT1G50190.1	
AT1G54330	AT1G54330.1	
AT4G05631	AT4G05631.1	
AT1G03130	AT1G03130.1	BGIOSGA026484-PA
AT3G12840	AT3G12840.1	BGIOSGA020286-PA
AT3G51590	AT3G51590.1	
AT4G19920	AT4G19920.1	
AT5G54165	AT5G54165.1	
AT5G46430	AT5G46430.1	BGIOSGA029494-PA
AT5G46430	AT5G46430.2	BGIOSGA029494-PA
AT5G46430	AT5G46430.1	BGIOSGA029496-PA
AT5G46430	AT5G46430.2	BGIOSGA029496-PA
AT5G46430	AT5G46430.1	BGIOSGA031035-PA
AT5G46430	AT5G46430.2	BGIOSGA031035-PA
AT5G46430	AT5G46430.1	BGIOSGA029026-PA
AT5G46430	AT5G46430.2	BGIOSGA029026-PA
AT2G16200	AT2G16200.2	BGIOSGA025345-PA
AT2G16200	AT2G16200.1	BGIOSGA025345-PA
AT2G16200	AT2G16200.2	BGIOSGA012163-PA
AT2G16200	AT2G16200.1	BGIOSGA012163-PA
AT4G29905	AT4G29905.1	
AT1G70070	AT1G70070.1	BGIOSGA009022-PA
AT1G21680	AT1G21680.1	BGIOSGA013910-PA
AT1G21680	AT1G21680.1	BGIOSGA015439-PA
AT3G18970	AT3G18970.1	
AT1G68870	AT1G68870.1	
AT2G31650	AT2G31650.1	BGIOSGA030183-PA
AT5G35460	AT5G35460.2	BGIOSGA003852-PA
AT5G35460	AT5G35460.1	BGIOSGA003852-PA
AT4G15840	AT4G15840.1	BGIOSGA005116-PA
AT4G15840	AT4G15840.2	BGIOSGA005116-PA
AT5G01610	AT5G01610.1	BGIOSGA001398-PA
AT5G01610	AT5G01610.2	BGIOSGA001398-PA
AT5G01610	AT5G01610.1	BGIOSGA001394-PA
AT5G01610	AT5G01610.2	BGIOSGA001394-PA
AT5G01610	AT5G01610.1	BGIOSGA019654-PA
AT5G01610	AT5G01610.2	BGIOSGA019654-PA
AT1G49760	AT1G49760.2	BGIOSGA030226-PA
AT1G49760	AT1G49760.1	BGIOSGA030226-PA
AT1G49760	AT1G49760.2	BGIOSGA014766-PA
AT1G49760	AT1G49760.1	BGIOSGA014766-PA
AT1G49760	AT1G49760.2	BGIOSGA028435-PA
AT1G49760	AT1G49760.1	BGIOSGA028435-PA
AT5G16360	AT5G16360.1	BGIOSGA018327-PA
AT5G64700	AT5G64700.2	BGIOSGA024200-PA
AT5G64700	AT5G64700.1	BGIOSGA024200-PA
AT5G64700	AT5G64700.2	BGIOSGA034741-PA
AT5G64700	AT5G64700.1	BGIOSGA034741-PA
AT5G64700	AT5G64700.2	BGIOSGA019016-PA
AT5G64700	AT5G64700.1	BGIOSGA019016-PA
AT5G64700	AT5G64700.2	BGIOSGA034744-PA
AT5G64700	AT5G64700.1	BGIOSGA034744-PA
AT5G64700	AT5G64700.2	BGIOSGA024199-PA
AT5G64700	AT5G64700.1	BGIOSGA024199-PA
AT5G64700	AT5G64700.2	BGIOSGA025844-PA
AT5G64700	AT5G64700.1	BGIOSGA025844-PA
AT5G64700	AT5G64700.2	BGIOSGA002972-PA
AT5G64700	AT5G64700.1	BGIOSGA002972-PA
AT5G64700	AT5G64700.2	BGIOSGA019017-PA
AT5G64700	AT5G64700.1	BGIOSGA019017-PA
AT5G64700	AT5G64700.2	BGIOSGA001455-PA
AT5G64700	AT5G64700.1	BGIOSGA001455-PA
AT5G64700	AT5G64700.2	BGIOSGA001456-PA
AT5G64700	AT5G64700.1	BGIOSGA001456-PA
AT5G64700	AT5G64700.2	BGIOSGA002973-PA
AT5G64700	AT5G64700.1	BGIOSGA002973-PA
