Gene stable ID	Transcript stable ID	Medicago truncatula protein or transcript stable ID
AT3G61040	AT3G61040.1	KEH43874
AT3G61040	AT3G61040.2	AES97607
AT3G61040	AT3G61040.1	AES97607
AT3G61040	AT3G61040.2	KEH43383
AT3G61040	AT3G61040.1	KEH43383
AT3G61040	AT3G61040.2	AES79996
AT3G61040	AT3G61040.1	AES79996
AT3G61040	AT3G61040.2	KEH43386
AT3G61040	AT3G61040.1	KEH43386
AT3G61040	AT3G61040.2	AES79999
AT3G61040	AT3G61040.1	AES79999
AT3G61040	AT3G61040.2	KEH38563
AT3G61040	AT3G61040.1	KEH38563
AT3G61040	AT3G61040.2	AES79992
AT3G61040	AT3G61040.1	AES79992
AT4G23650	AT4G23650.1	AES94004
AT4G23650	AT4G23650.1	KEH21166
AT1G30600	AT1G30600.1	KEH37751
AT1G54500	AT1G54500.1	AES82611
AT5G48470	AT5G48470.1	AES58712
AT3G22670	AT3G22670.1	AES93713
AT1G34550	AT1G34550.2	KEH43552
AT1G34550	AT1G34550.1	KEH43552
AT5G53480	AT5G53480.1	KEH35467
AT5G53480	AT5G53480.1	KEH35465
AT1G58410	AT1G58410.2	KEH21734
AT1G58410	AT1G58410.4	KEH21734
AT1G58410	AT1G58410.3	KEH21734
AT1G58410	AT1G58410.1	KEH21734
AT1G58410	AT1G58410.2	AES65375
AT1G58410	AT1G58410.4	AES65375
AT1G58410	AT1G58410.3	AES65375
AT1G58410	AT1G58410.1	AES65375
AT1G22600	AT1G22600.1	KEH29295
AT1G22600	AT1G22600.1	KEH29297
AT2G26460	AT2G26460.1	KEH37665
AT2G01818	AT2G01818.1	AET05468
AT2G01818	AT2G01818.2	AET05468
AT1G21280	AT1G21280.1	
AT4G39860	AT4G39860.1	AES72207
AT4G39860	AT4G39860.2	AES72207
AT4G39860	AT4G39860.4	AES72207
AT4G39860	AT4G39860.3	AES72207
AT4G39860	AT4G39860.1	KEH16213
AT4G39860	AT4G39860.2	KEH16213
AT4G39860	AT4G39860.4	KEH16213
AT4G39860	AT4G39860.3	KEH16213
AT1G69390	AT1G69390.1	AES96910
AT2G25700	AT2G25700.1	
AT1G52810	AT1G52810.1	KEH28749
AT1G52810	AT1G52810.1	KEH28750
AT5G54067	AT5G54067.1	
AT5G42490	AT5G42490.2	AES73979
AT5G42490	AT5G42490.1	AES73979
AT3G25430	AT3G25430.2	
AT3G25430	AT3G25430.1	
AT3G43490	AT3G43490.1	
AT4G00750	AT4G00750.1	AES80053
AT4G00750	AT4G00750.1	KEH18956
AT2G15360	AT2G15360.1	
AT2G37460	AT2G37460.1	AES60772
AT2G37460	AT2G37460.1	AES60764
AT2G37460	AT2G37460.1	AES81738
AT5G44750	AT5G44750.2	KEH27326
AT5G44750	AT5G44750.1	KEH27326
AT1G70290	AT1G70290.2	KEH19955
AT1G70290	AT1G70290.1	KEH19955
AT5G51810	AT5G51810.2	KEH19017
AT5G51810	AT5G51810.1	KEH19017
AT5G51810	AT5G51810.2	KEH26558
AT5G51810	AT5G51810.1	KEH26558
AT5G51810	AT5G51810.2	AES62614
AT5G51810	AT5G51810.1	AES62614
AT1G35895	AT1G35895.1	
AT1G48780	AT1G48780.1	AET05337
AT1G48780	AT1G48780.2	AET05337
AT1G48780	AT1G48780.1	AES76659
AT1G48780	AT1G48780.2	AES76659
AT3G44610	AT3G44610.1	KEH38963
AT4G38070	AT4G38070.1	KEH27738
AT5G43440	AT5G43440.2	KEH32248
AT5G43440	AT5G43440.1	KEH32248
AT5G43440	AT5G43440.2	AET01251
AT5G43440	AT5G43440.1	AET01251
AT5G43440	AT5G43440.2	KEH18776
AT5G43440	AT5G43440.1	KEH18776
AT5G43440	AT5G43440.2	AET01273
AT5G43440	AT5G43440.1	AET01273
AT5G43440	AT5G43440.2	AET01264
AT5G43440	AT5G43440.1	AET01264
AT5G43440	AT5G43440.2	AET01266
AT5G43440	AT5G43440.1	AET01266
AT5G43440	AT5G43440.2	AET01272
AT5G43440	AT5G43440.1	AET01272
AT3G21230	AT3G21230.2	
AT3G21230	AT3G21230.3	
AT3G21230	AT3G21230.4	
AT3G21230	AT3G21230.1	
AT5G48720	AT5G48720.3	KEH22670
AT5G48720	AT5G48720.4	KEH22670
AT5G48720	AT5G48720.2	KEH22670
AT5G48720	AT5G48720.1	KEH22670
AT5G48720	AT5G48720.3	KEH18205
AT5G48720	AT5G48720.4	KEH18205
AT5G48720	AT5G48720.2	KEH18205
AT5G48720	AT5G48720.1	KEH18205
AT2G20290	AT2G20290.4	KEH42436
AT2G20290	AT2G20290.2	KEH42436
AT2G20290	AT2G20290.1	KEH42436
AT2G20290	AT2G20290.3	KEH42436
AT2G20290	AT2G20290.4	AES81671
AT2G20290	AT2G20290.2	AES81671
AT2G20290	AT2G20290.1	AES81671
AT2G20290	AT2G20290.3	AES81671
AT2G20290	AT2G20290.4	KEH42434
AT2G20290	AT2G20290.2	KEH42434
AT2G20290	AT2G20290.1	KEH42434
AT2G20290	AT2G20290.3	KEH42434
AT3G24140	AT3G24140.1	
AT3G24140	AT3G24140.2	
AT4G11980	AT4G11980.1	AES90973
AT5G03960	AT5G03960.1	KEH41512
AT5G03960	AT5G03960.2	KEH41512
AT5G03960	AT5G03960.3	KEH41512
AT2G41260	AT2G41260.1	
AT2G41260	AT2G41260.2	
AT5G04510	AT5G04510.3	KEH43368
AT5G04510	AT5G04510.2	KEH43368
AT5G04510	AT5G04510.1	KEH43368
AT4G33110	AT4G33110.2	AES73429
AT4G33110	AT4G33110.1	AES73429
AT5G63680	AT5G63680.2	KEH24719
AT5G63680	AT5G63680.1	KEH24719
AT5G63680	AT5G63680.3	KEH24719
AT3G16870	AT3G16870.1	KEH32333
AT1G14640	AT1G14640.1	KEH23016
AT1G14640	AT1G14640.2	KEH23016
AT3G12980	AT3G12980.1	AES86305
AT3G12980	AT3G12980.2	AES86305
AT1G63480	AT1G63480.1	AET04993
AT1G63480	AT1G63480.6	AET04993
AT1G63480	AT1G63480.3	AET04993
AT1G63480	AT1G63480.4	AET04993
AT1G63480	AT1G63480.7	AET04993
AT1G63480	AT1G63480.2	AET04993
AT1G63480	AT1G63480.5	AET04993
AT1G63480	AT1G63480.1	AES94054
AT1G63480	AT1G63480.6	AES94054
AT1G63480	AT1G63480.3	AES94054
AT1G63480	AT1G63480.4	AES94054
AT1G63480	AT1G63480.7	AES94054
AT1G63480	AT1G63480.2	AES94054
AT1G63480	AT1G63480.5	AES94054
AT3G30340	AT3G30340.2	AES62961
AT3G30340	AT3G30340.1	AES62961
AT3G30340	AT3G30340.2	AES59977
AT3G30340	AT3G30340.1	AES59977
AT2G15327	AT2G15327.1	
AT2G16490	AT2G16490.1	AES86419
AT2G16490	AT2G16490.1	AES92564
AT2G16490	AT2G16490.1	KEH32486
AT2G16490	AT2G16490.1	AES92561
AT4G14815	AT4G14815.1	KEH43852
AT4G14815	AT4G14815.1	KEH43855
AT4G14815	AT4G14815.1	KEH43853
AT4G14815	AT4G14815.1	AES93739
AT2G25185	AT2G25185.1	
AT5G14260	AT5G14260.1	AES75034
AT5G14260	AT5G14260.3	AES75034
AT5G14260	AT5G14260.2	AES75034
AT5G14260	AT5G14260.4	AES75034
AT4G08260	AT4G08260.1	KEH34326
AT4G08260	AT4G08260.1	KEH34324
AT4G08260	AT4G08260.1	AES98684
AT2G30630	AT2G30630.3	KEH23870
AT2G30630	AT2G30630.1	KEH23870
AT2G30630	AT2G30630.2	KEH23870
AT2G30630	AT2G30630.3	KEH42598
AT2G30630	AT2G30630.1	KEH42598
AT2G30630	AT2G30630.2	KEH42598
AT1G70944	AT1G70944.1	
AT2G38400	AT2G38400.1	KEH34397
AT2G38400	AT2G38400.2	KEH34397
AT3G22085	AT3G22085.1	
AT5G19410	AT5G19410.1	KEH33500
AT5G19410	AT5G19410.2	KEH33500
AT5G19410	AT5G19410.1	AES91713
AT5G19410	AT5G19410.2	AES91713
AT1G72230	AT1G72230.1	AES73096
AT1G72230	AT1G72230.1	AES73093
AT1G72230	AT1G72230.1	AES73106
AT1G72230	AT1G72230.1	AES73133
AT1G72230	AT1G72230.1	AES73097
AT3G16520	AT3G16520.3	KEH25713
AT3G16520	AT3G16520.1	KEH25713
AT3G16520	AT3G16520.2	KEH25713
AT3G16520	AT3G16520.3	KEH25708
AT3G16520	AT3G16520.1	KEH25708
AT3G16520	AT3G16520.2	KEH25708
AT3G16520	AT3G16520.3	KEH26304
AT3G16520	AT3G16520.1	KEH26304
AT3G16520	AT3G16520.2	KEH26304
AT3G16520	AT3G16520.3	KEH25703
AT3G16520	AT3G16520.1	KEH25703
AT3G16520	AT3G16520.2	KEH25703
AT3G16520	AT3G16520.3	KEH25704
AT3G16520	AT3G16520.1	KEH25704
AT3G16520	AT3G16520.2	KEH25704
AT3G16520	AT3G16520.3	KEH25706
AT3G16520	AT3G16520.1	KEH25706
AT3G16520	AT3G16520.2	KEH25706
AT2G30250	AT2G30250.1	AES98907
AT2G30250	AT2G30250.1	AES69538
AT5G52530	AT5G52530.3	
AT5G52530	AT5G52530.2	
AT5G52530	AT5G52530.1	
AT2G04570	AT2G04570.1	AET03087
AT2G04570	AT2G04570.1	AES99794
AT2G04570	AT2G04570.1	AES71793
ATCG00830	ATCG00830.1	KEH33448
AT1G34825	AT1G34825.1	
AT2G45970	AT2G45970.1	AET02042
AT5G64110	AT5G64110.1	AES63440
AT5G64110	AT5G64110.1	AES63438
AT5G54620	AT5G54620.1	KEH42019
AT5G54620	AT5G54620.1	AES68855
AT5G54620	AT5G54620.1	AET03585
AT5G54620	AT5G54620.1	KEH19754
AT5G54620	AT5G54620.1	AET02475
AT5G54620	AT5G54620.1	KEH20216
AT5G54620	AT5G54620.1	AES77856
AT5G54620	AT5G54620.1	AET03520
AT5G54620	AT5G54620.1	AET03074
AT5G54620	AT5G54620.1	AES73510
AT5G54620	AT5G54620.1	KEH19139
AT5G54620	AT5G54620.1	AET02365
AT5G54620	AT5G54620.1	AET03387
AT5G54620	AT5G54620.1	KEH22490
AT2G27110	AT2G27110.1	
AT2G27110	AT2G27110.2	
AT2G27110	AT2G27110.3	
AT2G38920	AT2G38920.6	KEH24305
AT2G38920	AT2G38920.1	KEH24305
AT2G38920	AT2G38920.3	KEH24305
AT2G38920	AT2G38920.5	KEH24305
AT2G38920	AT2G38920.4	KEH24305
AT2G38920	AT2G38920.2	KEH24305
AT2G44260	AT2G44260.2	AES66093
AT2G44260	AT2G44260.1	AES66093
AT2G44260	AT2G44260.2	AES66091
AT2G44260	AT2G44260.1	AES66091
AT2G44260	AT2G44260.2	AES66088
AT2G44260	AT2G44260.1	AES66088
AT2G44260	AT2G44260.2	AES66087
AT2G44260	AT2G44260.1	AES66087
AT1G21340	AT1G21340.1	AES72408
AT1G56420	AT1G56420.1	AES61466
AT3G01322	AT3G01322.1	
AT3G12835	AT3G12835.1	
AT4G20520	AT4G20520.1	AES67291
AT4G20520	AT4G20520.1	AES67286
AT2G47350	AT2G47350.1	
AT2G47350	AT2G47350.2	
AT4G31400	AT4G31400.1	AES68051
AT4G31400	AT4G31400.2	AES68051
AT4G31400	AT4G31400.1	KEH17164
AT4G31400	AT4G31400.2	KEH17164
AT4G14900	AT4G14900.1	KEH43877
AT3G16320	AT3G16320.4	
AT3G16320	AT3G16320.1	
AT3G16320	AT3G16320.3	
AT3G16320	AT3G16320.2	
AT4G27120	AT4G27120.1	AES66902
AT4G27120	AT4G27120.2	AES66902
AT4G27120	AT4G27120.3	AES66902
AT3G29780	AT3G29780.1	
AT1G10630	AT1G10630.2	
AT1G10630	AT1G10630.1	
AT1G03950	AT1G03950.1	KEH23946
AT2G24720	AT2G24720.1	
AT1G60970	AT1G60970.1	AES64697
AT4G29850	AT4G29850.1	AES65378
AT4G29850	AT4G29850.1	AES92201
AT2G15320	AT2G15320.1	KEH44118
AT5G38170	AT5G38170.1	AES80604
AT5G38170	AT5G38170.1	KEH21557
AT5G38170	AT5G38170.1	AES80599
AT4G21120	AT4G21120.1	AET04493
AT4G21120	AT4G21120.2	AET04493
AT4G21120	AT4G21120.1	KEH20723
AT4G21120	AT4G21120.2	KEH20723
AT4G21120	AT4G21120.1	KEH40544
AT4G21120	AT4G21120.2	KEH40544
AT4G21120	AT4G21120.1	AET04492
AT4G21120	AT4G21120.2	AET04492
AT4G21120	AT4G21120.1	AET04491
AT4G21120	AT4G21120.2	AET04491
AT4G08555	AT4G08555.1	
AT3G05670	AT3G05670.2	AES82399
AT3G05670	AT3G05670.1	AES82399
AT3G05670	AT3G05670.3	AES82399
AT4G23210	AT4G23210.4	
AT4G23210	AT4G23210.2	
AT4G23210	AT4G23210.5	
AT4G23210	AT4G23210.3	
AT4G23210	AT4G23210.1	
AT4G00860	AT4G00860.1	
AT5G36550	AT5G36550.1	
AT4G38870	AT4G38870.1	AET00953
AT1G34930	AT1G34930.1	
AT5G66290	AT5G66290.1	AES95098
AT5G66290	AT5G66290.2	AES95098
AT5G66290	AT5G66290.3	AES95098
AT5G09460	AT5G09460.1	AES63498
AT4G26120	AT4G26120.2	
AT4G26120	AT4G26120.1	
ATMG00940	ATMG00940.1	KEH36937
ATMG00940	ATMG00940.1	AES63237
ATMG00940	ATMG00940.1	AES97839
ATMG00940	ATMG00940.1	AES96733
ATMG00940	ATMG00940.1	AES98002
ATMG00940	ATMG00940.1	AES97840
ATMG00940	ATMG00940.1	AES97873
ATMG00940	ATMG00940.1	AES71388
ATMG00940	ATMG00940.1	AES98003
ATMG00940	ATMG00940.1	AES63224
ATMG00940	ATMG00940.1	KEH28051
ATMG00940	ATMG00940.1	AES97830
ATMG00940	ATMG00940.1	AES99550
ATMG00940	ATMG00940.1	KEH41962
ATMG00940	ATMG00940.1	KEH28045
ATMG00940	ATMG00940.1	AES96741
ATMG00940	ATMG00940.1	AES97927
AT5G31412	AT5G31412.1	
AT1G06140	AT1G06140.1	AES60016
AT5G58740	AT5G58740.1	KEH34247
AT5G54320	AT5G54320.1	AES63635
AT5G54320	AT5G54320.1	AES63636
AT1G13250	AT1G13250.1	AES72587
AT2G16019	AT2G16019.1	
AT2G15460	AT2G15460.1	KEH18863
AT2G15460	AT2G15460.1	AES98038
AT1G63540	AT1G63540.1	
AT5G53180	AT5G53180.5	AES72454
AT5G53180	AT5G53180.1	AES72454
AT5G53180	AT5G53180.2	AES72454
AT5G53180	AT5G53180.6	AES72454
AT5G53180	AT5G53180.4	AES72454
AT5G53180	AT5G53180.3	AES72454
AT5G53180	AT5G53180.5	KEH40410
AT5G53180	AT5G53180.1	KEH40410
AT5G53180	AT5G53180.2	KEH40410
AT5G53180	AT5G53180.6	KEH40410
AT5G53180	AT5G53180.4	KEH40410
AT5G53180	AT5G53180.3	KEH40410
AT5G36540	AT5G36540.1	
AT1G28000	AT1G28000.1	
AT3G23180	AT3G23180.2	KEH42565
AT3G23180	AT3G23180.1	KEH42565
AT3G23180	AT3G23180.2	KEH23899
AT3G23180	AT3G23180.1	KEH23899
AT5G51560	AT5G51560.1	AES75836
AT4G19710	AT4G19710.2	AES71954
AT4G19710	AT4G19710.1	AES71954
AT4G36740	AT4G36740.2	AES94904
AT4G36740	AT4G36740.1	AES94904
AT4G36740	AT4G36740.2	AES94908
AT4G36740	AT4G36740.1	AES94908
AT1G23410	AT1G23410.1	
AT4G22212	AT4G22212.1	
AT3G06435	AT3G06435.1	
AT3G06435	AT3G06435.2	
AT1G35660	AT1G35660.1	AES60507
AT1G22590	AT1G22590.2	
AT1G22590	AT1G22590.1	
AT1G60380	AT1G60380.1	
AT3G53790	AT3G53790.1	KEH22891
AT5G17130	AT5G17130.1	
AT1G76360	AT1G76360.1	
AT2G21770	AT2G21770.1	AET04650
AT1G15940	AT1G15940.1	AES87571
AT1G15940	AT1G15940.1	KEH28544
AT2G25290	AT2G25290.1	KEH39842
AT2G25290	AT2G25290.4	KEH39842
AT2G25290	AT2G25290.3	KEH39842
AT2G25290	AT2G25290.2	KEH39842
AT2G46920	AT2G46920.4	KEH43159
AT2G46920	AT2G46920.2	KEH43159
AT2G46920	AT2G46920.1	KEH43159
AT2G46920	AT2G46920.3	KEH43159
AT3G23820	AT3G23820.1	AES71913
AT3G17840	AT3G17840.1	KEH26683
AT3G17840	AT3G17840.1	AET05610
AT1G22870	AT1G22870.4	AES87595
AT1G22870	AT1G22870.1	AES87595
AT1G22870	AT1G22870.2	AES87595
AT1G22870	AT1G22870.3	AES87595
AT2G15325	AT2G15325.1	
AT1G16640	AT1G16640.1	KEH41183
AT1G16640	AT1G16640.1	KEH41184
AT1G16640	AT1G16640.1	KEH41174
AT4G30900	AT4G30900.3	AES92512
AT4G30900	AT4G30900.2	AES92512
AT4G30900	AT4G30900.1	AES92512
AT5G36001	AT5G36001.1	
AT5G36001	AT5G36001.2	
AT5G26617	AT5G26617.1	
AT1G47570	AT1G47570.3	AET04901
AT1G47570	AT1G47570.1	AET04901
AT1G47570	AT1G47570.2	AET04901
AT1G70110	AT1G70110.1	
AT1G65440	AT1G65440.3	AES81104
AT1G65440	AT1G65440.2	AES81104
AT1G65440	AT1G65440.1	AES81104
AT1G65440	AT1G65440.4	AES81104
AT1G65440	AT1G65440.3	KEH23552
AT1G65440	AT1G65440.2	KEH23552
AT1G65440	AT1G65440.1	KEH23552
AT1G65440	AT1G65440.4	KEH23552
AT5G09990	AT5G09990.1	
AT5G50570	AT5G50570.2	KEH21018
AT5G50570	AT5G50570.1	KEH21018
AT5G05800	AT5G05800.4	AES71102
AT5G05800	AT5G05800.2	AES71102
AT5G05800	AT5G05800.3	AES71102
AT5G05800	AT5G05800.5	AES71102
AT5G05800	AT5G05800.1	AES71102
AT1G10330	AT1G10330.1	
AT1G57775	AT1G57775.1	
AT4G23890	AT4G23890.1	AET02099
AT4G23890	AT4G23890.1	AES80097
AT4G30310	AT4G30310.1	AES92356
AT4G30310	AT4G30310.3	AES92356
AT4G30310	AT4G30310.4	AES92356
AT4G30310	AT4G30310.2	AES92356
AT3G28291	AT3G28291.1	
AT3G18580	AT3G18580.1	AES91279
AT1G72970	AT1G72970.2	AES67855
AT1G72970	AT1G72970.1	AES67855
AT1G72970	AT1G72970.2	KEH18350
AT1G72970	AT1G72970.1	KEH18350
AT5G63440	AT5G63440.1	KEH44553
AT5G63440	AT5G63440.3	KEH44553
AT5G63440	AT5G63440.2	KEH44553
AT1G11850	AT1G11850.2	
AT1G11850	AT1G11850.4	
AT1G11850	AT1G11850.1	
AT1G11850	AT1G11850.3	
AT3G29075	AT3G29075.1	AES74757
AT5G40460	AT5G40460.1	AES74375
AT1G11720	AT1G11720.1	KEH36862
AT1G11720	AT1G11720.2	KEH36862
AT4G03965	AT4G03965.1	AES64409
AT4G03965	AT4G03965.1	AES92684
AT1G49390	AT1G49390.1	AES74251
AT1G49390	AT1G49390.2	AES74251
AT1G49390	AT1G49390.1	AES91665
AT1G49390	AT1G49390.2	AES91665
AT1G49390	AT1G49390.1	AET03643
AT1G49390	AT1G49390.2	AET03643
AT1G49390	AT1G49390.1	AET03645
AT1G49390	AT1G49390.2	AET03645
AT4G08330	AT4G08330.2	AES72281
AT4G08330	AT4G08330.1	AES72281
AT4G08330	AT4G08330.2	KEH40531
AT4G08330	AT4G08330.1	KEH40531
AT4G33990	AT4G33990.1	AES81160
AT4G33990	AT4G33990.2	AES81160
AT1G04895	AT1G04895.1	
AT5G27840	AT5G27840.4	AES82448
AT5G27840	AT5G27840.1	AES82448
AT5G27840	AT5G27840.3	AES82448
AT5G27840	AT5G27840.2	AES82448
AT3G16330	AT3G16330.1	AES67936
AT3G16330	AT3G16330.1	AET01485
AT3G16330	AT3G16330.1	AET01484
AT3G16330	AT3G16330.1	AET01486
AT3G16330	AT3G16330.1	AES67935
AT5G43695	AT5G43695.1	
AT3G19940	AT3G19940.1	AES99586
AT3G19940	AT3G19940.1	AES59985
AT3G19940	AT3G19940.1	AES59982
AT4G31540	AT4G31540.1	KEH16329
AT4G31540	AT4G31540.1	AES58904
AT3G22860	AT3G22860.1	AES75546
AT3G22860	AT3G22860.1	AES82757
AT3G22860	AT3G22860.1	KEH38669
AT3G22860	AT3G22860.1	AES59598
AT3G22860	AT3G22860.1	AES75516
AT3G22860	AT3G22860.1	KEH16266
AT3G22860	AT3G22860.1	AES63159
AT3G22860	AT3G22860.1	AES65779
AT3G22860	AT3G22860.1	AES75513
AT5G56410	AT5G56410.1	AES77931
AT5G56410	AT5G56410.1	AES77935
AT5G56410	AT5G56410.1	AES74791
AT5G56410	AT5G56410.1	KEH21875
AT5G03590	AT5G03590.3	AES82002
AT5G03590	AT5G03590.1	AES82002
AT5G03590	AT5G03590.2	AES82002
AT5G03590	AT5G03590.3	KEH42057
AT5G03590	AT5G03590.1	KEH42057
AT5G03590	AT5G03590.2	KEH42057
AT5G03590	AT5G03590.3	KEH42058
AT5G03590	AT5G03590.1	KEH42058
AT5G03590	AT5G03590.2	KEH42058
AT5G03590	AT5G03590.3	KEH42056
AT5G03590	AT5G03590.1	KEH42056
AT5G03590	AT5G03590.2	KEH42056
AT4G33070	AT4G33070.1	
AT1G14453	AT1G14453.1	
AT1G05783	AT1G05783.1	
AT3G48205	AT3G48205.2	
AT3G48205	AT3G48205.1	
AT3G06720	AT3G06720.2	KEH32655
AT3G06720	AT3G06720.1	KEH32655
AT3G06720	AT3G06720.2	AES92530
AT3G06720	AT3G06720.1	AES92530
AT3G06720	AT3G06720.2	AES65063
AT3G06720	AT3G06720.1	AES65063
AT3G06720	AT3G06720.2	AES92706
AT3G06720	AT3G06720.1	AES92706
AT3G06720	AT3G06720.2	KEH28816
AT3G06720	AT3G06720.1	KEH28816
AT3G06720	AT3G06720.2	AES92711
AT3G06720	AT3G06720.1	AES92711
AT3G06720	AT3G06720.2	AES92265
AT3G06720	AT3G06720.1	AES92265
AT3G06720	AT3G06720.2	AES92712
AT3G06720	AT3G06720.1	AES92712
AT3G06720	AT3G06720.2	AES92704
AT3G06720	AT3G06720.1	AES92704
AT3G06720	AT3G06720.2	AES92574
AT3G06720	AT3G06720.1	AES92574
AT3G06720	AT3G06720.2	KEH18646
AT3G06720	AT3G06720.1	KEH18646
AT1G52640	AT1G52640.1	AET05210
AT3G09910	AT3G09910.2	KEH42151
AT3G09910	AT3G09910.4	KEH42151
AT3G09910	AT3G09910.1	KEH42151
AT3G09910	AT3G09910.5	KEH42151
AT3G09910	AT3G09910.3	KEH42151
AT3G09910	AT3G09910.2	KEH24062
AT3G09910	AT3G09910.4	KEH24062
AT3G09910	AT3G09910.1	KEH24062
AT3G09910	AT3G09910.5	KEH24062
AT3G09910	AT3G09910.3	KEH24062
AT1G51630	AT1G51630.1	KEH28615
AT5G02970	AT5G02970.1	AES81806
AT1G51070	AT1G51070.1	AES66864
AT1G51070	AT1G51070.2	AES66864
AT1G51070	AT1G51070.1	AES89898
AT1G51070	AT1G51070.2	AES89898
AT2G34020	AT2G34020.1	KEH38649
AT2G34020	AT2G34020.2	KEH38649
AT3G05150	AT3G05150.2	
AT3G05150	AT3G05150.3	
AT3G05150	AT3G05150.1	
AT5G07230	AT5G07230.1	AES62553
AT3G22010	AT3G22010.1	AES67291
AT3G22010	AT3G22010.1	AES67286
AT3G53710	AT3G53710.2	AES81716
AT3G53710	AT3G53710.3	AES81716
AT3G53710	AT3G53710.1	AES81716
AT3G53710	AT3G53710.2	KEH42388
AT3G53710	AT3G53710.3	KEH42388
AT3G53710	AT3G53710.1	KEH42388
AT5G53750	AT5G53750.1	KEH38765
AT5G53750	AT5G53750.1	KEH38766
AT1G32490	AT1G32490.1	AES75913
AT1G32490	AT1G32490.2	AES75913
AT1G32490	AT1G32490.1	KEH33117
AT1G32490	AT1G32490.2	KEH33117
AT1G32490	AT1G32490.1	KEH39785
AT1G32490	AT1G32490.2	KEH39785
AT1G32490	AT1G32490.1	AET02535
AT1G32490	AT1G32490.2	AET02535
AT1G32490	AT1G32490.1	AES98983
AT1G32490	AT1G32490.2	AES98983
AT1G02690	AT1G02690.1	KEH32336
AT1G02690	AT1G02690.2	KEH32336
AT5G15030	AT5G15030.1	
AT2G25900	AT2G25900.1	AES73358
AT2G25900	AT2G25900.2	AES73358
AT3G13090	AT3G13090.1	AES96080
AT3G13090	AT3G13090.1	KEH33996
AT3G13090	AT3G13090.1	AET00689
AT3G13090	AT3G13090.1	AET00688
AT3G13090	AT3G13090.1	KEH33999
AT3G13090	AT3G13090.1	KEH33995
AT3G13090	AT3G13090.1	AES96106
AT3G13090	AT3G13090.1	KEH34000
AT3G13090	AT3G13090.1	AET00687
AT1G22470	AT1G22470.1	
AT5G42800	AT5G42800.1	KEH40173
AT5G42800	AT5G42800.1	KEH40172
AT4G04650	AT4G04650.1	
AT3G19552	AT3G19552.1	
AT1G52520	AT1G52520.1	
AT3G46490	AT3G46490.2	AET05200
AT3G46490	AT3G46490.1	AET05200
AT3G46490	AT3G46490.2	KEH27193
AT3G46490	AT3G46490.1	KEH27193
AT5G66190	AT5G66190.2	AES95143
AT5G66190	AT5G66190.1	AES95143
AT1G66340	AT1G66340.1	AES87618
AT3G56840	AT3G56840.1	
AT2G24620	AT2G24620.1	
AT3G22270	AT3G22270.1	
AT1G06530	AT1G06530.1	AES93871
AT1G06530	AT1G06530.1	AET00410
AT1G14860	AT1G14860.1	AET05406
AT1G14860	AT1G14860.1	KEH40611
AT2G42720	AT2G42720.1	KEH25402
AT5G48580	AT5G48580.1	AET01423
AT4G25845	AT4G25845.1	AES92300
AT4G38350	AT4G38350.2	AET01068
AT4G38350	AT4G38350.1	AET01068
AT5G05930	AT5G05930.2	AES71060
AT5G05930	AT5G05930.7	AES71060
AT5G05930	AT5G05930.4	AES71060
AT5G05930	AT5G05930.1	AES71060
AT5G05930	AT5G05930.3	AES71060
AT5G05930	AT5G05930.5	AES71060
AT5G05930	AT5G05930.6	AES71060
AT1G78810	AT1G78810.3	AES66609
AT1G78810	AT1G78810.2	AES66609
AT1G78810	AT1G78810.1	AES66609
AT1G78810	AT1G78810.3	KEH17334
AT1G78810	AT1G78810.2	KEH17334
AT1G78810	AT1G78810.1	KEH17334
AT2G22940	AT2G22940.1	
AT2G33800	AT2G33800.1	KEH31035
AT3G15900	AT3G15900.1	AES68173
AT4G04880	AT4G04880.2	KEH36820
AT4G04880	AT4G04880.1	KEH36820
AT4G04880	AT4G04880.3	KEH36820
AT4G04880	AT4G04880.2	AES92601
AT4G04880	AT4G04880.1	AES92601
AT4G04880	AT4G04880.3	AES92601
AT5G48480	AT5G48480.1	AES79027
AT3G01670	AT3G01670.2	
AT3G01670	AT3G01670.1	
AT5G46840	AT5G46840.2	AES95822
AT5G46840	AT5G46840.1	AES95822
AT5G64250	AT5G64250.1	AES71022
AT5G64250	AT5G64250.2	AES71022
AT1G21320	AT1G21320.3	AES72403
AT1G21320	AT1G21320.2	AES72403
AT1G21320	AT1G21320.4	AES72403
AT1G21320	AT1G21320.5	AES72403
AT1G21320	AT1G21320.1	AES72403
AT1G21320	AT1G21320.3	KEH40436
AT1G21320	AT1G21320.2	KEH40436
AT1G21320	AT1G21320.4	KEH40436
AT1G21320	AT1G21320.5	KEH40436
AT1G21320	AT1G21320.1	KEH40436
AT4G36810	AT4G36810.1	AET03964
AT1G27250	AT1G27250.1	
AT1G51120	AT1G51120.1	
AT2G24610	AT2G24610.1	
AT2G24610	AT2G24610.2	
AT3G44665	AT3G44665.1	
AT5G07150	AT5G07150.2	
AT5G07150	AT5G07150.1	
AT3G48880	AT3G48880.3	KEH43725
AT3G48880	AT3G48880.1	KEH43725
AT3G48880	AT3G48880.2	KEH43725
AT3G48880	AT3G48880.3	KEH43726
AT3G48880	AT3G48880.1	KEH43726
AT3G48880	AT3G48880.2	KEH43726
AT3G54690	AT3G54690.1	KEH23935
AT2G23530	AT2G23530.1	AES94798
